"primary_key","observed_on","user_id","created_at","updated_at","latitude","longitude","species_guess","scientific_name","common_name","county_names"
36,"2015-04-11",79637,"2015-04-11 16:26:53 +0100","2018-04-25 01:36:21 +0100",40.940654,-73.996805,"eastern white pine","Pinus strobus","eastern white pine","Bergen"
37,"2015-04-18",76543,"2015-04-19 17:21:56 +0100","2018-04-19 20:33:20 +0100",39.656355,-74.65798,"pitch pine","Pinus rigida","pitch pine","Burlington"
38,"2015-04-19",76543,"2015-04-19 17:21:00 +0100","2020-10-22 13:11:13 +0100",39.65391667,-74.65460833,"shortleaf pine","Pinus echinata","shortleaf pine","Burlington"
39,"2015-04-17",77244,"2015-04-19 22:04:16 +0100","2019-07-18 05:16:00 +0100",39.887025,-74.37946333,"pitch pine","Pinus rigida","pitch pine","Ocean"
40,"2015-04-11",78813,"2015-05-08 23:44:49 +0100","2015-06-10 00:36:12 +0100",41.186414,-74.798443,"Eastern white pine","Pinus strobus","eastern white pine","Sussex"
41,"2015-05-11",78767,"2015-05-11 19:21:11 +0100","2023-07-05 02:22:09 +0100",39.715641,-74.510654,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
42,"2015-05-14",75723,"2015-05-15 00:51:16 +0100","2024-01-11 02:47:11 +0100",40.10738,-74.434976,"shortleaf pine","Pinus echinata","shortleaf pine","Ocean"
43,"2015-05-14",75723,"2015-05-15 00:51:36 +0100","2024-01-11 02:47:11 +0100",40.10738,-74.434976,"pitch pine","Pinus rigida","pitch pine","Ocean"
44,"2015-05-24",99722,"2015-05-24 18:37:08 +0100","2023-03-09 22:05:18 +0100",40.96807833,-75.113275,"pitch pine","Pinus rigida","pitch pine","Warren"
45,"2015-05-25",103759,"2015-05-25 21:51:33 +0100","2020-11-19 12:15:04 +0100",40.88734935,-73.99926375,"eastern white pine","Pinus strobus","eastern white pine","Bergen"
46,"2015-08-05",46145,"2015-08-05 23:33:40 +0100","2023-11-11 00:37:58 +0100",39.59114538,-74.21825799,"pitch pine","Pinus rigida","pitch pine","Ocean"
47,"2015-08-26",77467,"2015-08-27 00:23:50 +0100","2017-11-30 09:35:29 +0100",40.779125,-74.433434,"Scots Pine","Pinus sylvestris","Scots pine","Morris"
48,"2015-08-30",126851,"2015-08-31 01:11:39 +0100","2015-12-18 01:17:50 +0100",40.776979,-74.434121,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
49,"2015-08-29",126856,"2015-08-31 02:22:30 +0100","2025-01-01 22:10:02 +0100",40.777362,-74.433407,"eastern white pine","Pinus strobus","eastern white pine","Morris"
50,"2015-09-01",127696,"2015-09-02 02:02:06 +0100","2015-10-15 20:35:39 +0100",40.777037,-74.432585,"Pinus strobus","Pinus strobus","eastern white pine","Morris"
51,"2015-09-03",77467,"2015-09-03 16:15:51 +0100","2017-03-01 17:38:11 +0100",40.774178,-74.44021,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
52,"2015-09-01",126849,"2015-09-05 18:38:19 +0100","2015-09-15 21:21:15 +0100",40.775297,-74.431204,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
53,"2015-09-06",127343,"2015-09-07 18:50:46 +0100","2023-03-08 00:44:18 +0100",40.779369,-74.432332,"eastern white pine","Pinus strobus","eastern white pine","Morris"
54,"2015-09-17",133452,"2015-09-17 13:48:05 +0100","2023-03-08 00:44:11 +0100",40.32561,-74.792619,"eastern white pine","Pinus strobus","eastern white pine","Mercer"
55,"2015-09-03",131315,"2015-09-17 22:08:45 +0100","2015-10-29 21:44:49 +0100",40.47737493,-74.43824172,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
56,"2015-09-17",132845,"2015-09-18 15:33:03 +0100","2023-03-09 14:49:11 +0100",40.32526667,-74.79317833,"eastern white pine","Pinus strobus","eastern white pine","Mercer"
57,"2015-09-19",134292,"2015-09-19 18:35:28 +0100","2015-10-29 21:09:12 +0100",40.48089691,-74.42866933,"Eastern white pine","Pinus strobus","eastern white pine","Middlesex"
58,"2015-09-16",77467,"2015-09-19 20:18:39 +0100","2015-12-14 18:24:41 +0100",40.77698,-74.432855,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
59,"2015-09-28",126850,"2015-09-28 22:02:07 +0100","2022-01-12 03:17:28 +0100",40.775602,-74.435055,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
60,"2015-10-01",78119,"2015-10-01 19:20:16 +0100","2022-07-16 02:15:50 +0100",40.476557,-74.437632,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
61,"2015-10-22",126851,"2015-10-06 09:32:22 +0100","2023-03-08 00:43:04 +0100",40.776461,-74.434149,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
62,"2015-09-23",126851,"2015-10-06 09:33:31 +0100","2023-03-08 00:42:59 +0100",40.775094,-74.437082,"eastern white pine","Pinus strobus","eastern white pine","Morris"
63,"2015-10-01",134429,"2015-10-08 00:38:43 +0100","2025-01-01 22:10:48 +0100",40.479663,-74.434605,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
64,"2015-10-19",126856,"2015-10-20 18:58:08 +0100","2025-01-01 22:09:18 +0100",40.779157,-74.434402,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
65,"2015-10-17",126851,"2015-10-20 19:43:00 +0100","2023-03-09 14:49:31 +0100",40.779512,-74.433237,"eastern white pine","Pinus strobus","eastern white pine","Morris"
66,"2015-09-17",133452,"2015-10-22 15:43:16 +0100","2020-11-19 12:16:43 +0100",40.32507,-74.793495,"eastern white pine","Pinus strobus","eastern white pine","Mercer"
67,"2015-11-01",136975,"2015-11-02 02:40:29 +0100","2017-02-14 03:21:46 +0100",40.486216,-74.451819,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
68,"2015-10-12",136718,"2015-11-02 04:24:42 +0100","2023-03-08 00:42:33 +0100",40.479663,-74.434605,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
69,"2015-10-29",139931,"2015-11-04 16:38:53 +0100","2023-03-09 22:01:33 +0100",40.48075833,-74.42977167,"eastern white pine","Pinus strobus","eastern white pine","Middlesex"
70,"2015-09-21",127868,"2015-11-05 01:54:27 +0100","2025-01-01 22:07:59 +0100",40.48139181,-74.43481352,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
71,"2015-11-04",129309,"2015-11-05 05:31:57 +0100","2017-02-13 16:39:16 +0100",40.505491,-74.455901,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
72,"2015-11-09",126855,"2015-11-09 21:59:36 +0100","2023-03-08 00:41:50 +0100",40.774864,-74.432405,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
73,"2015-11-09",126855,"2015-11-09 21:59:23 +0100","2022-01-12 03:30:30 +0100",40.774479,-74.432244,"eastern white pine","Pinus strobus","eastern white pine","Morris"
74,"2015-11-04",137231,"2015-11-11 22:52:22 +0100","2025-01-01 22:05:56 +0100",40.47624167,-74.43063333,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
75,"2015-11-04",77467,"2015-11-21 18:13:02 +0100","2017-02-13 03:43:37 +0100",40.77486,-74.43269,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
76,"2015-11-28",85415,"2015-11-28 20:36:44 +0100","2022-01-12 03:34:05 +0100",39.90576576,-74.54384119,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
77,"2015-11-30",126853,"2015-12-01 11:56:41 +0100","2024-12-27 07:28:35 +0100",40.773701,-74.431155,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
78,"2015-11-08",19073,"2016-01-02 07:00:43 +0100","2017-02-13 00:31:16 +0100",40.9682,-75.113045,"Pitch Pine","Pinus rigida","pitch pine","Warren"
79,"2016-01-22",169326,"2016-01-23 02:24:37 +0100","2023-03-09 22:01:45 +0100",40.29279382,-74.69404701,"eastern white pine","Pinus strobus","eastern white pine","Mercer"
