Tree_ID,sales_price,sales_id
1,2257.5,1
6,2499,1
9,2068.5,1
14,2215.5,1
16,1029,1
17,3848.25,1
29,1648.5,1
36,1302,1
48,1905.75,1
49,1811.25,1
56,2152.5,1
72,1144.5,1
79,4058.25,1
82,1071,1
84,3207.75,1
92,1774.5,1
95,1538.25,1
104,1197,1
110,1228.5,1
114,1559.25,1
118,6620.25,1
120,1890,1
126,1417.5,1
128,2110.5,1
139,1344,1
146,2042.25,2
148,3081.75,2
153,3081.75,2
155,1118.25,2
159,1160.25,2
160,1590.75,2
161,7255.5,2
162,3953.25,2
165,2772,2
166,4278.75,2
174,3769.5,2
177,5360.25,2
191,1039.5,2
192,1590.75,2
197,2661.75,2
198,2252.25,2
202,2399.25,2
203,4908.75,2
216,5302.5,2
221,2037,2
224,2572.5,2
228,1244.25,2
230,3927,2
235,1438.5,2
237,2304.75,2
238,2798.25,3
244,2504.25,3
249,1695.75,3
250,2556.75,3
257,10468.5,3
264,1443.75,3
265,1947.75,3
269,3097.5,3
274,2257.5,3
279,1176,3
280,1218,3
282,2178.75,3
283,1249.5,3
284,5927.25,3
285,4179,3
286,3181.5,3
290,2220.75,3
309,5979.75,3
322,1212.75,3
327,1711.5,3
328,4399.5,3
334,5412.75,3
336,1071,3
337,2226,3
338,1491,3
341,6084.75,4
349,1538.25,4
353,2567.25,4
355,3003,4
357,2220.75,4
370,2215.5,4
374,887.25,4
380,3811.5,4
381,987,4
382,1002.75,4
386,1512,4
400,3375.75,4
401,1191.75,4
405,3507,4
407,1680,4
408,1622.25,4
409,1370.25,4
414,1422.75,4
417,11812.5,4
421,2136.75,4
422,8184.75,4
425,3018.75,4
426,876.75,4
429,1459.5,4
431,6630.75,4
433,1869,5
434,4961.25,5
437,1506.75,5
442,8400,5
444,1732.5,5
447,4588.5,5
451,2829.75,5
463,1743,5
464,6279,5
466,1443.75,5
467,1428,5
469,5013.75,5
470,4572.75,5
472,5061,5
475,3423,5
476,1779.75,5
479,2451.75,5
484,3218.25,5
492,2178.75,5
495,1517.25,5
497,1932,5
498,1207.5,5
500,1286.25,5
505,4011,5
508,8667.75,5
513,2063.25,6
516,1191.75,6
519,1806,6
521,1144.5,6
527,2761.5,6
533,2509.5,6
534,1743,6
538,2089.5,6
542,1281,6
545,1722,6
547,2520,6
552,1417.5,6
557,4368,6
559,966,6
565,3774.75,6
566,2110.5,6
570,1139.25,6
572,12978,6
574,3239.25,6
579,2740.5,6
580,1302,6
581,1417.5,6
584,1370.25,6
585,3207.75,6
590,1564.5,6
601,2010.75,7
602,2373,7
603,4688.25,7
628,2472.75,7
629,2835,7
630,2976.75,7
640,1638,7
643,1690.5,7
652,2903.25,7
654,1354.5,7
667,1228.5,7
669,1690.5,7
670,1911,7
673,3638.25,7
678,4625.25,7
688,2268,7
690,1937.25,7
692,1816.5,7
697,5318.25,7
698,6347.25,7
709,1680,7
711,2646,7
715,8342.25,7
726,3848.25,7
738,3323.25,7
740,1538.25,8
750,5160.75,8
752,1517.25,8
761,2572.5,8
762,2094.75,8
766,2661.75,8
767,4961.25,8
775,2472.75,8
781,7056,8
790,2273.25,8
794,3029.25,8
808,3391.5,8
810,1071,8
813,1155,8
815,3244.5,8
817,2399.25,8
818,4546.5,8
821,1312.5,8
823,4872,8
824,2845.5,8
825,3958.5,8
841,1176,8
842,8940.75,8
849,1606.5,8
851,2945.25,8
853,4966.5,9
868,3370.5,9
869,2693.25,9
870,4068.75,9
872,5313,9
873,1081.5,9
876,2588.25,9
877,1900.5,9
880,3050.25,9
883,1485.75,9
893,2546.25,9
902,2178.75,9
911,5580.75,9
915,4368,9
917,1433.25,9
926,2646,9
928,3276,9
931,6053.25,9
937,1249.5,9
940,1496.25,9
946,2688,9
953,1050,9
954,2656.5,9
956,2194.5,9
959,3144.75,9
967,5559.75,10
971,3438.75,10
973,4599,10
976,4410,10
977,1622.25,10
979,1323,10
980,1491,10
984,1160.25,10
988,2131.5,10
991,5790.75,10
993,4273.5,10
997,3438.75,10
998,4105.5,10
1002,5895.75,10
1003,9654.75,10
1005,1317.75,10
1012,1149.75,10
1015,1863.75,10
1017,2252.25,10
1019,1575,10
1020,2373,10
1021,9618,10
1022,1391.25,10
1036,4840.5,10
1041,6021.75,10
1043,2205,11
1051,2745.75,11
1061,2325.75,11
1063,2210.25,11
1064,6121.5,11
1066,2798.25,11
1071,1459.5,11
1074,1097.25,11
1076,5764.5,11
1079,2110.5,11
1085,1449,11
1086,1659,11
1088,5003.25,11
1089,7129.5,11
1098,5727.75,11
1106,1674.75,11
1109,1659,11
1118,6021.75,11
1120,1659,11
1123,1207.5,11
1125,2824.5,11
1129,1680,11
1130,4410,11
1133,1785,11
1134,1197,11
1136,4137,12
1137,4614.75,12
1153,1779.75,12
1154,2992.5,12
1161,1417.5,12
1166,6053.25,12
1171,1039.5,12
1184,1055.25,12
1185,2021.25,12
1192,1323,12
1198,5150.25,12
1201,1097.25,12
1204,7822.5,12
1205,3801,12
1208,1695.75,12
1214,5339.25,12
1215,8043,12
1227,1002.75,12
1234,6242.25,12
1237,1055.25,12
1239,2976.75,12
1240,4105.5,12
1242,1590.75,12
1255,2520,12
1256,1947.75,12
1257,4609.5,13
1259,987,13
1267,1590.75,13
1269,4084.5,13
1273,1039.5,13
1274,2756.25,13
1275,1842.75,13
1276,1422.75,13
1280,1176,13
1283,4494,13
1285,1249.5,13
1292,1895.25,13
1293,1711.5,13
1299,2136.75,13
1305,4767,13
1309,1071,13
1315,1239,13
1320,3092.25,13
1333,1170.75,13
1336,1753.5,13
1340,1254.75,13
1352,3081.75,13
1353,5113.5,13
1354,2115.75,13
1357,1716.75,13
1364,3307.5,14
1365,1107.75,14
1366,2037,14
1370,2299.5,14
1373,9056.25,14
1379,2131.5,14
1384,2063.25,14
1386,2882.25,14
1390,4231.5,14
1391,1344,14
1394,1968.75,14
1403,3144.75,14
1405,3722.25,14
1414,1107.75,14
1420,2304.75,14
1421,2026.5,14
1422,3339,14
1425,2373,14
1426,4982.25,14
1431,1617,14
1432,2320.5,14
1437,4656.75,14
1438,6882.75,14
1461,1270.5,14
1467,1816.5,14
1472,1554,15
1473,2178.75,15
1477,17487.75,15
1487,3423,15
1489,4084.5,15
1492,2194.5,15
1497,3139.5,15
1502,1417.5,15
1507,1932,15
1521,1779.75,15
1524,2457,15
